design,count,point_id,observed_probability,residual_shape,concentration,reset_observed_probability,hazard,innovation_l2,surprise,gain,update_l2,information_gain,change_probability
uniform_factorial,1,132,0.35,0.9,32.0,0.05,0.01,0.8768979416100827,1.0498221244986778,0.030303030303030304,0.02657266489727523,0.02843542878084193,0.0014409221902017292
uniform_factorial,1,140,0.35,0.9,128.0,0.5,0.01,0.8768979416100827,1.0498221244986778,0.007751937984496124,0.0067976584620936574,0.007218032071614644,0.014224751066856332
uniform_factorial,1,145,0.65,0.5,2.0,0.05,0.15,0.4286607049870561,0.4307829160924542,0.3333333333333333,0.142886901662352,0.10803846135795697,0.013392857142857144
uniform_factorial,1,157,0.65,0.5,32.0,0.05,0.15,0.4286607049870561,0.4307829160924542,0.030303030303030304,0.012989718332941111,0.008302262397641869,0.013392857142857144
uniform_factorial,1,160,0.65,0.5,32.0,0.95,0.01,0.4286607049870561,0.4307829160924542,0.030303030303030304,0.012989718332941111,0.008302262397641869,0.014548238897396632
uniform_factorial,1,163,0.65,0.5,128.0,0.05,0.15,0.4286607049870561,0.4307829160924542,0.007751937984496124,0.0033229512014500266,0.0020964132981635686,0.013392857142857144
uniform_factorial,1,164,0.65,0.5,128.0,0.5,0.01,0.4286607049870561,0.4307829160924542,0.007751937984496124,0.0033229512014500266,0.0020964132981635686,0.007710100231303007
uniform_factorial,1,170,0.65,0.9,2.0,0.5,0.01,0.4721758147131214,0.4307829160924542,0.3333333333333333,0.15739193823770714,0.10803846135795675,0.007710100231303007
uniform_factorial,1,175,0.65,0.9,8.0,0.05,0.15,0.4721758147131214,0.4307829160924542,0.1111111111111111,0.052463979412569015,0.03188325982637452,0.013392857142857144
uniform_factorial,1,176,0.65,0.9,8.0,0.5,0.01,0.4721758147131214,0.4307829160924542,0.1111111111111111,0.052463979412569015,0.03188325982637452,0.007710100231303007
uniform_factorial,1,177,0.65,0.9,8.0,0.5,0.15,0.4721758147131214,0.4307829160924542,0.1111111111111111,0.052463979412569015,0.03188325982637452,0.11952191235059761
uniform_factorial,1,178,0.65,0.9,8.0,0.95,0.01,0.4721758147131214,0.4307829160924542,0.1111111111111111,0.052463979412569015,0.03188325982637452,0.014548238897396632
uniform_factorial,1,179,0.65,0.9,8.0,0.95,0.15,0.4721758147131214,0.4307829160924542,0.1111111111111111,0.052463979412569015,0.03188325982637452,0.20503597122302158
uniform_factorial,1,180,0.65,0.9,32.0,0.05,0.01,0.4721758147131214,0.4307829160924542,0.030303030303030304,0.014308358021609735,0.008302262397641869,0.0007763975155279505
uniform_factorial,1,181,0.65,0.9,32.0,0.05,0.15,0.4721758147131214,0.4307829160924542,0.030303030303030304,0.014308358021609735,0.008302262397641869,0.013392857142857144
uniform_factorial,1,186,0.65,0.9,128.0,0.05,0.01,0.4721758147131214,0.4307829160924542,0.007751937984496124,0.0036602776334350487,0.0020964132981635686,0.0007763975155279505
uniform_factorial,1,195,0.9,0.5,2.0,0.5,0.15,0.12247448713915887,0.10536051565782628,0.3333333333333333,0.0408248290463862,0.023123169408776692,0.08928571428571429
uniform_factorial,1,197,0.9,0.5,2.0,0.95,0.15,0.12247448713915887,0.10536051565782628,0.3333333333333333,0.0408248290463862,0.023123169408776692,0.15702479338842976
uniform_factorial,1,200,0.9,0.5,8.0,0.5,0.01,0.12247448713915887,0.10536051565782628,0.1111111111111111,0.013608276348795313,0.006640070861282682,0.005580357142857143
uniform_factorial,1,202,0.9,0.5,8.0,0.95,0.01,0.12247448713915887,0.10536051565782628,0.1111111111111111,0.013608276348795313,0.006640070861282682,0.010549694614103275
uniform_factorial,1,204,0.9,0.5,32.0,0.05,0.01,0.12247448713915887,0.10536051565782628,0.030303030303030304,0.0037113480951260457,0.0017170260888290656,0.0005608524957936063
uniform_factorial,1,205,0.9,0.5,32.0,0.05,0.15,0.12247448713915887,0.10536051565782628,0.030303030303030304,0.0037113480951260457,0.0017170260888290656,0.00970873786407767
uniform_factorial,1,209,0.9,0.5,32.0,0.95,0.15,0.12247448713915887,0.10536051565782628,0.030303030303030304,0.0037113480951260457,0.0017170260888290656,0.15702479338842976
